latitude,longitude,ano_flate,ano_punkt,hovedtype,kartleggin,sp,file,temperature_WQ,precipitation_Annual,road_distance,name
59.586962058634064,8.118886733455042,ANO0999,ANO0999_15,Skogsmark,T4-C-5,vm,Ano_sites/Blåbær/tempW10-12_preA1050-1400.csv,11.284317016601562,1060.7501220703125,223.60679626464844,0999_15_T4-C-5_vm_11_1061_224
59.58681357552138,8.116073877000487,ANO0999,ANO0999_13,Skogsmark,T4-C-1,vm,Ano_sites/Blåbær/tempW10-12_preA1050-1400.csv,11.182416915893555,1060.1043701171875,412.3105773925781,0999_13_T4-C-1_vm_11_1060_412
59.58666503223919,8.113261049624326,ANO0999,ANO0999_11,Skogsmark,T4-C-5,vm,Ano_sites/Blåbær/tempW10-12_preA1050-1400.csv,11.135149955749512,1059.871337890625,500,0999_11_T4-C-5_vm_11_1060_500
59.58745251447976,8.11452099476811,ANO0999,ANO0999_22,Skogsmark,T4-C-5,vm,Ano_sites/Blåbær/tempW10-12_preA1050-1400.csv,11.123650550842285,1058.5831298828125,500,0999_22_T4-C-5_vm_11_1059_500
59.58809143388337,8.112968053856411,ANO0999,ANO0999_31,Skogsmark,T4-C-5,vm,Ano_sites/Blåbær/tempW10-12_preA1050-1400.csv,11.123650550842285,1058.5831298828125,500,0999_31_T4-C-5_vm_11_1059_500
59.58887891974152,8.114228043135467,ANO0999,ANO0999_42,Skogsmark,T4-C-5,vm,Ano_sites/Blåbær/tempW10-12_preA1050-1400.csv,11.107999801635742,1057.1962890625,500,0999_42_T4-C-5_vm_11_1057_500
59.589517834334,8.112675028994712,ANO0999,ANO0999_51,Skogsmark,T4-C-5,vm,Ano_sites/Blåbær/tempW10-12_preA1050-1400.csv,11.0739164352417,1055.7274169921875,500,0999_51_T4-C-5_vm_11_1056_500
59.590305323810036,8.113935062412693,ANO0999,ANO0999_62,Skogsmark,T4-C-5,vm,Ano_sites/Blåbær/tempW10-12_preA1050-1400.csv,11.032533645629883,1054.1732177734375,509.9019470214844,0999_62_T4-C-5_vm_11_1054_510
59.589666394472005,8.115488091099518,ANO0999,ANO0999_53,Ãpen jordvannsmyr,V1-C-5,vm,Ano_sites/Blåbær/tempW10-12_preA1050-1400.csv,11.14424991607666,1055.899658203125,400,0999_53_V1-C-5_vm_11_1056_400
59.59045385807364,8.116748197752424,ANO0999,ANO0999_64,Skogsmark,T4-C-5,vm,Ano_sites/Blåbær/tempW10-12_preA1050-1400.csv,11.175816535949707,1054.4686279296875,316.2277526855469,0999_64_T4-C-5_vm_11_1054_316
59.59060233215873,8.119561362174949,ANO0999,ANO0999_66,Skogsmark,T4-C-5,vm,Ano_sites/Blåbær/tempW10-12_preA1050-1400.csv,11.2882661819458,1054.9222412109375,141.42135620117188,0999_66_T4-C-5_vm_11_1055_141
59.58981489443378,8.118301182290788,ANO0999,ANO0999_55,Skogsmark,T4-C-1,vm,Ano_sites/Blåbær/tempW10-12_preA1050-1400.csv,11.302467346191406,1056.6025390625,200,0999_55_T4-C-1_vm_11_1057_200
59.58902744557818,8.117041061097494,ANO0999,ANO0999_44,Skogsmark,T4-C-5,vm,Ano_sites/Blåbær/tempW10-12_preA1050-1400.csv,11.239283561706543,1057.774169921875,300,0999_44_T4-C-5_vm_11_1058_300
59.58823998559313,8.115780998591216,ANO0999,ANO0999_33,Skogsmark,T4-C-5,vm,Ano_sites/Blåbær/tempW10-12_preA1050-1400.csv,11.180083274841309,1058.8245849609375,400,0999_33_T4-C-5_vm_11_1059_400
59.5876010318902,8.117333895363796,ANO0999,ANO0999_24,Skogsmark,T4-C-5,vm,Ano_sites/Blåbær/tempW10-12_preA1050-1400.csv,11.239883422851562,1059.1844482421875,300,0999_24_T4-C-5_vm_11_1059_300
59.58774948912882,8.120146825034212,ANO0999,ANO0999_26,Skogsmark,T4-C-1,vm,Ano_sites/Blåbær/tempW10-12_preA1050-1400.csv,11.34921646118164,1059.8812255859375,100,0999_26_T4-C-1_vm_11_1060_100
59.56628273006254,8.257737717979547,ANO1041,ANO1041_66,Skogsmark,T4-C-1,vm,Ano_sites/Blåbær/tempW10-12_preA1050-1400.csv,10.96619987487793,1071.274169921875,1000,1041_66_T4-C-1_vm_11_1071_1000
64.4219141425667,12.263600245358417,ANO1251,ANO1251_53,SnÃ¸leie,T7-C-1,vm,Ano_sites/Blåbær/tempW10-12_preA1050-1400.csv,11.569049835205078,1203.9752197265625,100,1251_53_T7-C-1_vm_12_1204_100
64.42122798452971,12.265330491088626,ANO1251,ANO1251_44,Fjellhei leside og tundra,T3-C-1,vm,Ano_sites/Blåbær/tempW10-12_preA1050-1400.csv,11.558366775512695,1201.9417724609375,200,1251_44_T3-C-1_vm_12_1202_200
64.4227238631662,12.26850520922347,ANO1251,ANO1251_66,Skogsmark,T4-C-1,vm,Ano_sites/Blåbær/tempW10-12_preA1050-1400.csv,11.682783126831055,1204.904052734375,316.2277526855469,1251_66_T4-C-1_vm_12_1205_316
64.42197593227513,12.266917806937258,ANO1251,ANO1251_55,Fjellhei leside og tundra,T3-C-1,vm,Ano_sites/Blåbær/tempW10-12_preA1050-1400.csv,11.622200012207031,1203.4688720703125,300,1251_55_T3-C-1_vm_12_1203_300
